music,os,gender,height,weight,shoe,month,color,pet,number,prob,math
hip hop,MacOS,M,1.93,95,49,may,red,dog,81,7.5,7
hip hop,MacOS,M,1.77,71,42,nov,green,dog,72,6.5,
hip hop,Windows,M,1.81,69,44.5,dec,black,dog,4,5,9
Τζάζ,Windows,M,1.77,73,45,jun,blue,dog,63,8.5,8
pop,Windows,F,1.7,68,40,jan,blue,dog,64,6.5,6
metal,Windows,F,1.65,63,39.5,may,black,dog,99,7.5,6.5
rock,Windows,M,1.9,85,46,mar,blue,dog,89,6.5,9
hip hop,Windows,F,1.75,60,42,may,purple,dog,96,9,7
hip hop,Windows,M,1.7,84,45,jul,green,dog,13,4,
metal,Windows,M,1.73,70,44,sep,black,rabbit,34,7.5,8.5
rock,Windows,M,1.76,77,44,jul,black,dog,21,5,5
rock,Windows,M,1.93,103,46,may,blue,dog,69,5,6
metal,Windows,M,1.74,69,44,dec,black,caracal,44,7,7
pop,Windows,M,1.76,66,43,apr,white,cat,69,10,9
hip hop,Windows,F,1.69,55,38,sep,purple,dog,17,7,8
hip hop,Windows,M,1.8,85,46,dec,blue,rabbit,10,7.5,8.5
hip hop,Windows,M,1.8,84,43,sep,black,cat,69,6,6
electronic,MacOS,M,1.75,75,42,sep,black,dog,7,6,6
pop,Windows,F,1.66,58,39,aug,purple,cat,56,0,2
hip hop,Windows,M,1.66,54,41,jul,green,dog,69,0,0
pop,Windows,F,1.59,54,36,dec,pink,dog,32,,
hip hop,Windows,M,1.86,84,47,may,purple,none,69,5,8
hip hop,Windows,F,1.64,60,38,may,purple,dog,7,,8
electronic,Windows,F,1.65,70,40,dec,blue,dog,77,8,10
pop,Windows,M,1.76,70,43,mar,black,cat,16,8.5,9
pop,MacOS,F,1.74,56,39,may,black,dog,20,7.5,7.5
laika,Windows,M,1.84,72,44,sep,blue,dog,19,10,10
hip hop,Linux/unix,M,1.85,95,45,feb,blue,dog,68,5,6
hip hop,Windows,M,1.85,85,46,oct,black,dog,69,5.5,8.5
rock,Windows,M,1.82,60,44,jun,blue,cat,45,3,7
electronic,Windows,M,1.85,80,45,feb,blue,cat,27,5,6
rock,Windows,F,1.68,70,38,dec,orange,cat,55,,
electronic,Windows,M,1.72,65,42,sep,purple,dog,85,,
classical,Windows,F,1.6,45,38,oct,purple,cat,51,9.5,6.5
pop,Windows,M,1.85,65,45,jul,blue,dog,22,5,5
hip hop,Windows,M,1.63,80,42,jul,green,dog,36,6.5,5
hip hop,Windows,M,1.87,72,45,apr,purple,dog,69,,8
pop,Windows,M,1.95,100,47,may,green,dog,57,,8
rock,Windows,M,1.67,72,41,apr,red,dog,87,5,5.5
pop,Windows,F,1.7,65,39,jul,purple,cat,20,0,5
laika,MacOS,F,1.7,57,39,nov,yellow,dog,59,5,6
hip hop,MacOS,M,1.75,75,43,jan,black,dog,83,6.6,8
